,id1
0,1
1,8
2,27
3,36
4,56
5,73
6,93
7,111
8,115
9,117
10,121
11,154
12,173
13,192
14,220
15,240
16,255
17,259
18,263
19,288
20,302
21,325
22,333
23,345
24,371
25,399
26,422
27,447
28,473
29,477
30,487
31,524
32,528
33,542
34,548
35,566
36,594
37,602
38,625
39,631
40,663
41,669
42,677
43,680
44,695
45,700
46,704
47,712
48,717
49,722
50,735
51,739
52,744
53,778
54,789
55,805
56,818
57,822
58,826
59,829
60,831
61,837
62,842
63,877
64,889
65,906
66,927
67,953
68,971
69,976
70,978
71,984
72,1002
73,1024
74,1054
75,1060
76,1084
77,1122
78,1129
79,1146
80,1152
81,1159
82,1162
83,1200
84,1206
85,1218
86,1258
87,1269
88,1273
89,1284
90,1316
91,1329
92,1335
93,1339
94,1341
95,1348
96,1362
97,1368
98,1371
99,1377
100,1385
101,1402
102,1410
103,1445
104,1451
105,1471
106,1484
107,1496
108,1535
109,1538
110,1548
111,1552
112,1562
113,1590
114,1592
115,1616
116,1635
117,1645
118,1673
119,1681
120,1696
121,1705
122,1719
123,1723
124,1727
125,1758
126,1776
127,1784
128,1826
129,1829
130,1834
131,1845
132,1848
133,1855
134,1859
135,1864
136,1867
137,1902
138,1913
139,1917
140,1941
141,1944
142,1948
143,1961
144,1967
145,1989
146,2010
147,2022
148,2031
149,2034
150,2040
151,2046
152,2079
153,2084
154,2087
155,2097
156,2100
157,2106
158,2112
159,2120
160,2142
161,2150
162,2155
163,2159
164,2162
165,2178
166,2186
167,2200
168,2202
169,2206
170,2210
171,2218
172,2220
173,2234
174,2255
175,2274
176,2277
177,2291
178,2314
179,2328
180,2333
181,2347
182,2352
183,2357
184,2365
185,2369
186,2388
187,2392
188,2401
189,2413
190,2441
191,2447
192,2454
193,2456
194,2465
195,2468
196,2470
197,2477
198,2479
199,2499
200,2503
201,2535
202,2547
203,2563
204,2578
205,2583
206,2594
207,2601
208,2626
209,2629
210,2636
211,2651
212,2669
213,2677
214,2684
215,2689
216,2692
217,2700
218,2723
219,2748
220,2750
221,2761
222,2764
223,2779
224,2792
225,2797
226,2799
227,2801
228,2809
229,2824
230,2832
231,2844
232,2847
233,2863
234,2871
235,2874
236,2883
237,2885
238,2910
239,2918
240,2923
241,2929
242,2932
243,2942
244,2963
245,2966
246,2972
247,2978
248,2983
249,3020
250,3028
251,3034
252,3036
253,3053
254,3063
255,3066
256,3069
257,3075
258,3078
259,3084
260,3104
261,3114
262,3116
263,3118
264,3123
265,3135
266,3146
267,3170
268,3175
269,3183
270,3187
271,3198
272,3212
273,3226
274,3232
275,3249
276,3254
277,3263
278,3266
279,3282
280,3292
281,3303
282,3305
283,3320
284,3326
285,3340
286,3353
287,3368
288,3385
289,3394
290,3400
291,3402
292,3406
293,3412
294,3428
295,3439
296,3449
297,3461
298,3468
299,3498
300,3502
301,3506
302,3515
303,3520
304,3527
305,3537
306,3540
307,3552
308,3562
309,3565
310,3589
311,3592
312,3595
313,3605
314,3617
315,3621
316,3641
317,3666
318,3693
319,3697
320,3704
321,3709
322,3711
323,3722
324,3724
325,3726
326,3738
327,3755
328,3757
329,3778
330,3780
331,3791
332,3794
333,3804
334,3806
335,3815
336,3817
337,3821
338,3836
339,3844
340,3850
341,3854
342,3867
343,3872
344,3879
345,3881
346,3891
347,3906
348,3919
349,3935
350,3942
351,3946
352,3962
353,3968
354,3978
355,3983
356,3988
357,3992
358,3998
359,4027
360,4033
361,4043
362,4049
363,4055
364,4086
365,4103
366,4113
367,4117
368,4132
369,4139
370,4151
371,4154
372,4161
373,4163
374,4167
375,4174
376,4181
377,4186
378,4209
379,4214
380,4217
381,4226
382,4234
383,4242
384,4246
385,4250
386,4256
387,4266
388,4268
389,4272
390,4286
391,4305
392,4310
393,4319
394,4333
395,4341
396,4377
397,4384
398,4387
399,4417
400,4430
401,4445
402,4449
403,4455
404,4469
405,4472
406,4479
407,4481
408,4489
409,4491
410,4496
411,4500
412,4502
413,4509
414,4513
415,4516
416,4518
417,4521
418,4537
419,4555
420,4562
421,4571
422,4594
423,4601
424,4605
425,4617
426,4621
427,4633
428,4636
429,4640
430,4643
431,4645
432,4652
433,4663
434,4681
435,4692
436,4705
437,4716
438,4718
439,4741
440,4746
441,4752
442,4765
443,4775
444,4793
445,4804
446,4814
447,4825
448,4838
449,4842
450,4848
451,4854
452,4861
453,4868
454,4874
455,4879
456,4885
457,4890
458,4899
459,4923
460,4926
461,4943
462,4945
463,4947
464,4956
465,4960
466,4962
467,4966
468,4969
469,4980
470,4982
471,5001
472,5006
473,5018
474,5022
475,5026
476,5032
477,5035
478,5049
479,5059
480,5066
481,5074
482,5078
483,5082
484,5086
485,5089
486,5095
487,5115
488,5121
489,5127
490,5130
491,5151
492,5156
493,5161
494,5166
495,5170
496,5177
497,5188
498,5193
499,5197
500,5206
501,5211
502,5214
503,5217
504,5220
505,5223
506,5237
507,5239
508,5245
509,5256
510,5268
511,5271
512,5279
513,5283
514,5294
515,5298
516,5316
517,5319
518,5322
519,5338
520,5343
521,5352
522,5356
523,5360
524,5364
525,5374
526,5381
527,5385
528,5389
529,5391
530,5396
531,5409
532,5422
533,5435
534,5437
535,5440
536,5444
537,5456
538,5461
539,5464
540,5471
541,5473
542,5479
543,5486
544,5490
545,5498
546,5500
547,5505
548,5513
549,5517
550,5521
551,5525
552,5530
553,5532
554,5539
555,5549
556,5553
557,5557
558,5567
559,5571
560,5573
561,5584
562,5588
563,5602
564,5607
565,5612
566,5622
567,5624
568,5629
569,5633
570,5639
571,5641
572,5643
573,5660
574,5665
575,5686
576,5693
577,5699
578,5703
579,5705
580,5711
581,5713
582,5716
583,5721
584,5736
585,5738
586,5743
587,5752
588,5764
589,5774
590,5782
591,5785
592,5793
593,5807
594,5811
595,5849
596,5851
597,5854
598,5870
599,5874
600,5878
601,5883
602,5892
603,5895
604,5903
605,5936
606,5941
607,5943
608,5945
609,5954
610,5963
611,5970
612,5975
613,5984
614,5995
615,5999
616,6002
617,6006
618,6010
619,6028
620,6031
621,6034
622,6037
623,6042
624,6045
625,6052
626,6059
627,6064
628,6075
629,6078
630,6081
631,6087
632,6095
633,6098
634,6105
635,6109
636,6113
637,6126
638,6131
639,6138
640,6149
641,6157
642,6162
643,6167
644,6176
645,6180
646,6193
647,6196
648,6202
649,6205
650,6222
651,6224
652,6229
653,6234
654,6242
655,6244
656,6248
657,6256
658,6258
659,6266
660,6268
661,6271
662,6277
663,6286
664,6302
665,6309
666,6315
667,6328
668,6343
669,6345
670,6354
671,6359
672,6363
673,6368
674,6370
675,6382
676,6384
677,6390
678,6394
679,6401
680,6403
681,6408
682,6415
683,6418
684,6424
685,6427
686,6429
687,6433
688,6449
689,6457
690,6459
691,6465
692,6470
693,6477
694,6486
695,6493
696,6506
697,6508
698,6512
699,6516
700,6532
701,6537
702,6546
703,6549
704,6557
705,6564
706,6572
707,6575
708,6578
709,6583
710,6593
711,6595
712,6598
713,6600
714,6605
715,6607
716,6611
717,6616
718,6620
719,6639
720,6647
721,6656
722,6660
723,6662
724,6673
725,6678
726,6683
727,6697
728,6705
729,6712
730,6715
731,6719
732,6725
733,6727
734,6730
735,6733
736,6739
737,6743
738,6745
739,6750
740,6752
741,6757
742,6759
743,6763
744,6775
745,6779
746,6797
747,6807
748,6809
749,6811
750,6819
751,6826
752,6828
753,6830
754,6833
755,6837
756,6860
757,6862
758,6868
759,6877
760,6881
761,6884
762,6889
763,6896
764,6899
765,6914
766,6917
767,6920
768,6924
769,6932
770,6934
771,6946
772,6965
773,6967
774,6978
775,6988
776,6994
777,6999
778,7005
779,7009
780,7015
781,7019
782,7027
783,7030
784,7038
785,7043
786,7048
787,7050
788,7058
789,7062
790,7068
791,7075
792,7078
793,7080
794,7084
795,7087
796,7091
797,7097
798,7105
799,7113
800,7116
801,7125
802,7130
803,7157
804,7161
805,7164
806,7169
807,7182
808,7187
809,7194
810,7209
811,7221
812,7226
813,7231
814,7240
815,7248
816,7253
817,7256
818,7260
819,7263
820,7269
821,7275
822,7281
823,7292
824,7294
825,7304
826,7308
827,7313
828,7332
829,7335
830,7339
831,7343
832,7351
833,7354
834,7360
835,7364
836,7374
837,7376
838,7386
839,7392
840,7399
841,7401
842,7405
843,7419
844,7423
845,7430
846,7433
847,7437
848,7441
849,7446
850,7450
851,7455
852,7465
853,7468
854,7470
855,7474
856,7480
857,7486
858,7505
859,7508
860,7510
861,7514
862,7526
863,7530
864,7536
865,7545
866,7550
867,7564
868,7569
869,7571
870,7577
871,7580
872,7585
873,7591
874,7593
875,7597
876,7605
877,7611
878,7614
879,7619
880,7623
881,7627
882,7629
883,7645
884,7659
885,7672
886,7681
887,7694
888,7700
889,7704
890,7710
891,7712
892,7727
893,7732
894,7735
895,7737
896,7747
897,7749
898,7752
899,7772
900,7778
901,7783
902,7803
903,7806
904,7810
905,7819
906,7825
907,7827
908,7829
909,7832
910,7835
911,7850
912,7853
913,7860
914,7864
915,7866
916,7871
917,7875
918,7881
919,7887
920,7892
921,7895
922,7899
923,7903
924,7908
925,7911
926,7914
927,7928
928,7936
929,7939
930,7960
931,7963
932,7970
933,7972
934,7980
935,7984
936,7986
937,7995
938,8013
939,8022
940,8029
941,8034
942,8036
943,8039
944,8055
945,8059
946,8062
947,8071
948,8074
949,8087
950,8095
951,8113
952,8134
953,8149
954,8152
955,8158
956,8160
957,8171
958,8181
959,8186
960,8189
961,8192
962,8195
963,8198
964,8203
965,8205
966,8212
967,8222
968,8226
969,8233
970,8240
971,8250
972,8262
973,8266
974,8274
975,8284
976,8298
977,8335
978,8345
979,8350
980,8360
981,8375
982,8379
983,8384
984,8386
985,8392
986,8395
987,8399
988,8405
989,8418
990,8434
991,8444
992,8446
993,8451
994,8460
995,8473
996,8481
997,8499
998,8506
999,8514
1000,8516
1001,8518
1002,8535
1003,8537
1004,8546
1005,8548
1006,8551
1007,8564
1008,8570
1009,8573
1010,8577
1011,8583
1012,8603
1013,8607
1014,8609
1015,8613
1016,8621
1017,8626
1018,8628
1019,8641
1020,8649
1021,8652
1022,8655
1023,8657
1024,8662
1025,8669
1026,8671
1027,8692
1028,8705
1029,8713
1030,8715
1031,8726
1032,8753
1033,8761
1034,8767
1035,8769
1036,8781
1037,8784
1038,8786
1039,8803
1040,8814
1041,8819
1042,8824
1043,8826
1044,8840
1045,8846
1046,8848
1047,8861
1048,8876
1049,8879
1050,8887
1051,8889
1052,8896
1053,8921
1054,8925
1055,8931
1056,8934
1057,8937
1058,8939
1059,8941
1060,8944
1061,8946
1062,8959
1063,8965
1064,8967
1065,8969
1066,8972
1067,8982
1068,8984
1069,8992
1070,8999
1071,9004
1072,9008
1073,9013
1074,9016
1075,9019
1076,9023
1077,9025
1078,9036
1079,9051
1080,9072
1081,9077
1082,9087
1083,9097
1084,9107
1085,9123
1086,9127
1087,9139
1088,9167
1089,9172
1090,9207
1091,9211
1092,9228
1093,9257
1094,9260
1095,9265
1096,9268
1097,9273
1098,9284
1099,9289
1100,9300
1101,9305
1102,9322
1103,9326
1104,9336
1105,9348
1106,9351
1107,9362
1108,9364
1109,9369
1110,9375
1111,9378
1112,9384
1113,9391
1114,9395
1115,9400
1116,9403
1117,9412
1118,9420
1119,9432
1120,9451
1121,9456
1122,9461
1123,9465
1124,9469
1125,9473
1126,9477
1127,9483
1128,9486
1129,9497
1130,9503
1131,9505
1132,9510
1133,9520
1134,9533
1135,9537
1136,9567
1137,9569
1138,9574
1139,9598
1140,9600
1141,9613
1142,9619
1143,9621
1144,9623
1145,9628
1146,9630
1147,9640
1148,9653
1149,9659
1150,9661
1151,9678
1152,9685
1153,9692
1154,9698
1155,9700
1156,9727
1157,9734
1158,9742
1159,9744
1160,9749
1161,9752
1162,9785
1163,9808
1164,9813
1165,9820
1166,9824
1167,9828
1168,9831
1169,9837
1170,9839
1171,9843
1172,9852
1173,9855
1174,9863
1175,9865
1176,9869
1177,9882
1178,9888
1179,9890
1180,9901
1181,9922
1182,9927
1183,9929
1184,9934
1185,9946
1186,9954
1187,9959
1188,9965
1189,9968
1190,9971
1191,9973
1192,9976
1193,9981
1194,9985
1195,9988
1196,9992
1197,9994
1198,9996
1199,10004
1200,10010
1201,10029
1202,10041
1203,10058
1204,10062
1205,10067
1206,10070
1207,10072
1208,10075
1209,10101
1210,10103
1211,10119
1212,10127
1213,10137
1214,10139
1215,10144
1216,10157
1217,10160
1218,10164
1219,10171
1220,10177
1221,10180
1222,10182
1223,10192
1224,10196
1225,10204
1226,10219
1227,10248
1228,10250
1229,10278
1230,10281
1231,10299
1232,10308
1233,10323
1234,10327
1235,10329
1236,10352
1237,10355
1238,10362
1239,10371
1240,10379
1241,10391
1242,10423
1243,10436
1244,10490
1245,10496
1246,10498
1247,10514
1248,10521
1249,10526
1250,10538
1251,10544
1252,10555
1253,10573
1254,10576
1255,10594
1256,10607
1257,10612
1258,10614
1259,10634
1260,10639
1261,10642
1262,10647
1263,10659
1264,10664
1265,10666
1266,10672
1267,10690
1268,10697
1269,10709
1270,10733
1271,10737
1272,10764
1273,10775
1274,10777
1275,10779
1276,10781
1277,10787
1278,10811
1279,10817
1280,10825
1281,10829
1282,10832
1283,10834
1284,10846
1285,10859
1286,10864
1287,10870
1288,10875
1289,10885
1290,10892
1291,10900
1292,10902
1293,10905
1294,10910
1295,10915
1296,10923
1297,10928
1298,10930
1299,10936
1300,10941
1301,10951
1302,10973
1303,10977
1304,10979
1305,10981
1306,10985
1307,10999
1308,11001
1309,11003
1310,11007
1311,11023
1312,11032
1313,11036
1314,11039
1315,11043
1316,11045
1317,11052
1318,11058
1319,11063
1320,11067
1321,11078
1322,11082
1323,11084
1324,11090
1325,11092
1326,11099
1327,11121
1328,11126
1329,11136
1330,11148
1331,11151
1332,11155
1333,11157
1334,11161
1335,11177
1336,11181
1337,11186
1338,11198
1339,11208
1340,11214
1341,11217
1342,11219
1343,11223
1344,11225
1345,11230
1346,11234
1347,11242
1348,11252
1349,11255
1350,11263
1351,11267
1352,11275
1353,11291
1354,11293
1355,11299
1356,11304
1357,11308
1358,11340
1359,11358
1360,11363
1361,11366
1362,11388
1363,11397
1364,11400
1365,11402
1366,11431
1367,11439
1368,11444
1369,11448
1370,11453
1371,11465
1372,11467
1373,11474
1374,11483
1375,11485
1376,11491
1377,11496
1378,11506
1379,11521
1380,11529
1381,11531
1382,11539
1383,11553
1384,11556
1385,11565
1386,11568
1387,11582
1388,11588
1389,11590
1390,11601
1391,11603
1392,11608
1393,11616
1394,11621
1395,11626
1396,11636
1397,11652
1398,11656
1399,11667
1400,11672
1401,11675
1402,11681
1403,11688
1404,11691
1405,11696
1406,11704
1407,11708
1408,11714
1409,11718
1410,11721
1411,11727
1412,11730
1413,11733
1414,11744
1415,11748
1416,11751
1417,11754
1418,11759
1419,11767
1420,11772
1421,11777
1422,11794
1423,11798
1424,11804
1425,11823
1426,11836
1427,11840
1428,11859
1429,11861
1430,11873
1431,11892
1432,11898
1433,11905
1434,11916
1435,11921
1436,11930
1437,11935
1438,11944
1439,11946
1440,11953
1441,11965
1442,11976
1443,11984
1444,12003
1445,12008
1446,12010
1447,12012
1448,12028
1449,12034
1450,12043
1451,12048
1452,12052
1453,12068
1454,12071
1455,12078
1456,12080
1457,12087
1458,12091
1459,12116
1460,12124
1461,12136
1462,12149
1463,12156
1464,12164
1465,12171
1466,12185
1467,12220
1468,12224
1469,12228
1470,12243
1471,12259
1472,12264
1473,12273
1474,12284
1475,12295
1476,12317
1477,12320
1478,12328
1479,12348
1480,12353
1481,12356
1482,12360
1483,12373
1484,12379
1485,12389
1486,12411
1487,12413
1488,12418
1489,12426
1490,12442
1491,12444
1492,12449
1493,12453
1494,12462
1495,12470
1496,12475
1497,12478
1498,12492
1499,12498
1500,12500
1501,12515
1502,12529
1503,12534
1504,12546
1505,12554
1506,12557
1507,12566
1508,12578
1509,12584
1510,12589
1511,12597
1512,12601
1513,12605
1514,12610
1515,12613
1516,12626
1517,12636
1518,12679
1519,12684
1520,12689
1521,12696
1522,12698
1523,12709
1524,12725
1525,12735
1526,12741
1527,12745
1528,12748
1529,12753
1530,12763
1531,12766
1532,12777
1533,12780
1534,12793
1535,12796
1536,12851
1537,12855
1538,12862
1539,12876
1540,12890
1541,12908
1542,12927
1543,12930
1544,12940
1545,12944
1546,12954
1547,12961
1548,12964
1549,12992
1550,12995
1551,13004
1552,13007
1553,13015
1554,13021
1555,13030
1556,13048
1557,13056
1558,13070
1559,13073
1560,13078
1561,13084
1562,13093
1563,13102
1564,13104
1565,13106
1566,13109
1567,13122
1568,13129
1569,13136
1570,13141
1571,13148
1572,13150
1573,13177
1574,13180
1575,13182
1576,13189
1577,13197
1578,13206
1579,13211
1580,13213
1581,13221
1582,13227
1583,13240
1584,13252
1585,13258
1586,13260
1587,13263
1588,13268
1589,13275
1590,13284
1591,13293
1592,13304
1593,13323
1594,13336
1595,13343
1596,13348
1597,13355
1598,13366
1599,13371
1600,13373
1601,13376
1602,13381
1603,13386
1604,13390
1605,13392
1606,13395
1607,13401
1608,13410
1609,13416
1610,13419
1611,13421
1612,13425
1613,13429
1614,13438
1615,13451
1616,13455
1617,13471
1618,13475
1619,13479
1620,13484
1621,13486
1622,13493
1623,13497
1624,13503
1625,13510
1626,13518
1627,13528
1628,13530
1629,13537
1630,13546
1631,13549
1632,13555
1633,13561
1634,13577
1635,13579
1636,13581
1637,13598
1638,13605
1639,13608
1640,13622
1641,13628
1642,13638
1643,13644
1644,13655
1645,13658
1646,13662
1647,13667
1648,13673
1649,13675
1650,13677
1651,13679
1652,13692
1653,13699
1654,13703
1655,13709
1656,13714
1657,13717
1658,13720
1659,13723
1660,13732
1661,13736
1662,13746
1663,13749
1664,13762
1665,13765
1666,13771
1667,13774
1668,13790
1669,13800
1670,13806
1671,13811
1672,13817
1673,13824
1674,13829
1675,13833
1676,13840
1677,13852
1678,13859
1679,13866
1680,13891
1681,13912
1682,13931
1683,13940
1684,13942
1685,13946
1686,13950
1687,13960
1688,13965
1689,13967
1690,13973
1691,13999
1692,14007
1693,14009
1694,14012
1695,14016
1696,14018
1697,14020
1698,14028
1699,14031
1700,14035
1701,14039
1702,14060
1703,14064
1704,14068
1705,14072
1706,14076
1707,14085
1708,14090
1709,14094
1710,14096
1711,14111
1712,14119
1713,14128
1714,14133
1715,14143
1716,14146
1717,14149
1718,14157
1719,14162
1720,14164
1721,14167
1722,14170
1723,14177
1724,14183
1725,14190
1726,14195
1727,14197
1728,14207
1729,14210
1730,14221
1731,14227
1732,14233
1733,14238
1734,14257
1735,14263
1736,14267
1737,14292
1738,14296
1739,14298
1740,14301
1741,14304
1742,14308
1743,14311
1744,14316
1745,14320
1746,14322
1747,14342
1748,14344
1749,14350
1750,14352
1751,14362
1752,14377
1753,14380
1754,14405
1755,14409
1756,14412
1757,14422
1758,14428
1759,14438
1760,14445
1761,14450
1762,14454
1763,14462
1764,14468
1765,14478
1766,14485
1767,14492
1768,14496
1769,14498
1770,14510
1771,14516
1772,14520
1773,14529
1774,14557
1775,14566
1776,14584
1777,14589
1778,14594
1779,14599
1780,14605
1781,14609
1782,14611
1783,14613
1784,14620
1785,14624
1786,14630
1787,14649
1788,14653
1789,14666
1790,14675
1791,14678
1792,14683
1793,14687
1794,14691
1795,14718
1796,14723
1797,14731
1798,14745
1799,14760
1800,14766
